Year,Rainfall_mm,Tmean_C
1993,1177.403246377443,24.77030212719952
1994,1393.5968145049474,24.6036024087351
1995,1211.4807738265556,24.891905049881913
1996,1526.8414731953264,24.6624608896173
1997,1303.8535791470908,24.91737640111898
1998,1295.9669631176678,25.403096507853327
1999,1148.8575855659883,24.541784028904843
2000,1231.5957681600785,24.74455318123723
2001,1072.1620980419161,24.925505986436157
2002,905.4423939335601,25.41113026013275
2003,1139.6329915439783,25.16677481303053
2004,1435.1369352188221,24.72509202005803
2005,1529.4090246767269,25.158128274782268
2006,1230.881983681416,24.992095811156823
2007,1619.636002126648,24.892055126885875
2008,1487.466342819407,24.80617135612249
2009,1475.8115191980041,25.395168259478993
2010,1757.328911937138,25.393129709241343
2011,1693.9814090295586,24.781500542932413
2012,1223.2199858209883,25.36851415834144
2013,1318.0494998733318,25.323760662259307
2014,1327.9081267528525,25.78162619744807
2015,1580.3083916837277,25.451260178618707
2016,963.754833675921,25.977541076063133
2017,1441.9056536023354,25.624235764919153
2018,1311.766011857016,25.299245881705335
2019,1446.5480650984503,25.777831654681993
2020,383.949932837209,26.45817076019127
2021,1213.8866666666663,25.751919855234377
2022,1004.43,25.872292316405225
2023,768.5166666666668,26.87155387981194
2024,1087.18,26.93008237547893
2025,741.0300000000001,26.30480465949821
