Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1993,9.216125461254613,9.694280442804429,10.049186046511629,10.555807692307694,11.53900371747212,11.648678294573642,12.296973180076629,12.352653846153846,12.615185328185328,12.126095238095237,10.591498113207546,8.379999999999999
1994,8.665072463768116,8.748222222222223,9.318111111111111,9.907100719424461,10.361376811594202,10.682909090909092,11.092194244604316,11.574782608695651,11.841806569343067,10.959964028776978,7.067400722021661,6.554569288389513
1995,7.045154676258992,7.310740740740741,7.894926470588236,8.899202205882354,9.196501831501832,9.358735632183908,10.33818181818182,10.448759541984732,10.053190661478599,9.547074074074073,8.291018656716417,8.441570881226054
1996,10.301494252873564,10.779375,11.474387596899223,12.081542635658915,12.121574803149606,12.384621513944223,13.665635359116022,12.801056451612903,12.434156862745098,11.879305019305018,10.722950191570881,10.252443609022556
1997,9.233622641509433,9.635037878787879,10.330348837209302,10.71042471042471,11.104462151394422,11.426186770428016,11.758358778625954,12.451832669322709,12.621082089552239,12.368878326996198,10.41673835125448,8.663687943262412
1998,8.02125,8.149353741496599,8.500844155844156,8.995253246753247,9.454590163934427,9.624535714285715,10.003300970873786,10.487095709570957,10.428459016393441,10.282894736842104,9.078398692810456,8.07060855263158
1999,8.195751633986928,8.755602605863192,9.30549180327869,9.783190789473684,10.280406504065041,10.768983739837399,11.422661290322582,12.464932432432432,12.569851063829788,10.993338983050847,9.013474576271186,8.626534090909091
2000,8.98128431372549,9.252396610169491,9.865034246575343,10.37278350515464,10.880327586206898,11.421342465753424,11.766461538461538,11.741847222222223,11.293061224489795,10.560172413793103,10.614964788732395,10.727638888888889
2001,10.74255033557047,11.122826388888889,11.497922535211266,11.580738675958187,12.047429577464788,12.533321554770318,13.167173144876324,13.061126315789473,12.87341637010676,12.671060070671377,12.063089965397925,11.446130136986302
2002,11.91,12.351369863013698,12.389290780141845,13.056945454545454,13.756390977443608,14.156883720930233,14.660145098039216,14.841607142857143,15.068971193415639,14.803155737704918,13.10040293040293,13.153538461538462
2003,13.480559845559846,14.173332,14.192682926829269,14.222033333333332,14.633797909407665,14.80885813148789,15.88292,15.78426923076923,15.913702290076337,15.205665399239544,14.102536764705881,13.782014388489209
2004,14.618797250859105,14.871236749116608,15.56944029850746,16.58526923076923,16.979753086419752,16.22763306451613,16.249324894514768,16.43736170212766,15.739212,15.605537848605577,13.624205298013246,13.673389261744967
2005,13.421490066225166,13.701152542372881,13.790310344827587,13.514881355932204,13.601346801346802,13.63802397260274,14.228865979381444,13.770305084745761,12.487967213114754,11.937299035369774,10.386470588235294,8.348093655589125
2006,7.8461842105263155,8.09268221574344,8.574985337243403,9.15927113702624,9.700753012048192,10.110718562874252,11.123355263157896,11.157754901960784,11.005472312703583,10.794393442622951,8.842358208955224,8.818757575757576
2007,9.009522796352583,9.197815384615385,9.716892307692307,10.627704402515723,10.6715,11.114787974683544,11.504179153094462,11.519185667752442,11.24130293159609,10.642275641025641,9.1205625,8.88434650455927
2008,8.435982658959537,8.425639534883722,8.823901734104046,8.844971264367816,9.33736231884058,9.743826086956522,10.798352941176471,11.247529411764706,10.85872023809524,10.13573887240356,9.516205882352942,9.548431952662721
2009,9.582323529411765,9.99272997032641,10.576479289940828,11.158739255014327,11.562442528735632,11.690583090379008,12.309380530973451,12.610151785714287,12.758029411764705,11.941676470588236,11.367302052785924,10.520058309037902
2010,10.507696335078535,10.810913838120104,11.321526315789475,11.66418947368421,12.06262599469496,12.32873015873016,12.830690607734807,13.015191256830603,13.502270270270271,12.759197860962566,10.846188976377952,9.833972972972973
2011,9.555246753246752,9.558790931989925,9.865227817745804,10.418409638554218,9.935686746987953,10.092989010989012,10.86205078125,11.104710578842315,11.135861386138613,11.387972972972973,9.74923518164436,9.483843212237094
2012,8.930809248554914,9.372523900573613,9.70932562620424,10.975708502024291,10.499334600760456,10.823499043977055,12.94251509054326,13.32003018108652,14.153138832997987,14.26781746031746,12.935333333333334,13.33854990583804
2013,14.142476722532589,14.375872420262665,15.01765478424015,14.850867924528302,15.536877394636015,15.90303262955854,16.127242248062014,16.003648648648646,16.30607287449393,15.723960784313727,14.259514925373136,14.077822141560798
2014,14.085691382765532,14.355751503006013,14.892959999999999,15.182378048780487,15.934564315352697,15.709168399168398,16.519757709251103,16.490836909871245,16.06227765726681,14.766596194503173,12.240616302186877,11.35547131147541
2015,10.481799242424243,10.692312030075188,11.096490566037737,11.77564393939394,11.715582706766916,11.320054945054945,11.60913357400722,12.511681735985533,12.81342541436464,12.338667876588021,11.35375227686703,9.457473498233217
2016,9.71231433506045,9.986024096385542,10.843132530120482,11.723384879725087,12.307512953367876,12.798260869565217,13.534231433506044,13.6328125,14.51944827586207,15.897904761904762,15.904185606060606,15.329114583333332
2017,16.139433962264153,16.503831615120273,17.240188679245286,17.75900854700855,17.909536878216123,17.815362068965516,18.105,18.33788395904437,17.868410256410257,16.109061749571186,14.77111301369863,14.011378839590444
2018,13.934089347079038,14.406752136752138,14.932367066895369,15.667272727272728,15.924699828473415,15.527013232514179,15.422647657841141,14.351141649048627,14.615064695009242,12.55101851851852,11.89583044982699,11.373108808290155
2019,11.102874564459931,11.157412587412587,11.698621908127208,12.4111768707483,13.19607445177665,12.928656462585034,13.740883333333334,14.121118530884807,13.998655462168067,12.90178810408922,10.45664429533557,9.917245378174524
2020,9.974941176470589,10.525192631490787,11.059297658862876,11.631218697829716,12.10251256281407,12.781996644295301,13.1,12.84893092105263,12.344339207048458,11.651768558908298,11.667615894039734,10.521863560732113
2021,10.725287081555024,9.960471380471379,9.955897009966778,10.745208681135226,10.688879598662208,11.07829268292683,11.132668918918919,11.742729729729732,11.274670469798657,11.22925000015,9.60655,7.129097520826447
2022,7.238366336782178,7.17598324958124,7.885273972602739,8.607485420240137,8.230860971524287,8.216555183946488,8.660089225589225,8.390216666666667,7.739766666666666,7.944792013311147,8.420754257907543,6.028391959798995
2023,6.463122923627644,7.3003846153846155,7.69633779264214,8.150788590604026,8.306897133220911,8.607195325542571,9.197041946308724,10.108777219430484,10.566510851419032,10.747558528428094,9.92484949832776,10.509166666666667
2024,8.485792988313856,9.173054908485858,10.108402777777776,11.148111888111888,12.022191304347826,10.268197573656845,10.722582897033158,10.888664323374341,10.357634782608697,10.291669535283994,7.613362068965517,7.271440823327616
2025,7.56914089347079,8.112832469775475,9.03697074010327,9.344564102564101,9.401675213675214,9.166194539249148,9.672598290598291,10.074205128205127,10.152727272727272,10.128651877133107,8.071953818827708,7.903427561837456
